iter	Passed	Remaining
220	2756	9715
221	2768	9701
222	2780	9687
223	2792	9674
224	2804	9660
225	2816	9645
226	2828	9631
227	2840	9618
228	2852	9604
229	2864	9590
230	2876	9575
231	2888	9561
232	2900	9546
233	2911	9532
234	2923	9518
235	2936	9505
236	2948	9491
237	2960	9478
238	2972	9464
239	2984	9450
240	2996	9437
241	3008	9424
242	3020	9410
243	3032	9396
244	3044	9383
245	3057	9370
246	3068	9355
247	3080	9342
248	3092	9328
249	3104	9314
250	3117	9301
251	3129	9287
252	3140	9273
253	3152	9260
254	3164	9246
255	3176	9232
256	3188	9218
257	3200	9204
258	3212	9190
259	3224	9176
260	3236	9163
261	3248	9150
262	3260	9135
263	3271	9120
264	3283	9107
265	3295	9093
266	3307	9079
267	3319	9065
268	3330	9051
269	3342	9037
270	3354	9024
271	3366	9010
272	3378	8998
273	3390	8984
274	3402	8971
275	3414	8957
276	3427	8945
277	3439	8932
278	3451	8918
279	3463	8904
280	3475	8891
281	3487	8878
282	3499	8865
283	3511	8852
284	3523	8839
285	3535	8825
286	3547	8812
287	3559	8799
288	3571	8785
289	3582	8771
290	3594	8758
291	3606	8745
292	3618	8732
293	3631	8719
294	3643	8706
295	3655	8693
296	3667	8681
297	3679	8667
298	3691	8655
299	3704	8644
300	3716	8630
301	3728	8618
302	3740	8605
303	3752	8591
304	3764	8578
305	3776	8565
306	3789	8553
307	3800	8539
308	3812	8525
309	3823	8511
310	3835	8497
311	3847	8484
312	3859	8472
313	3871	8458
314	3883	8445
315	3895	8432
316	3907	8420
317	3920	8407
318	3931	8393
319	3944	8381
320	3956	8368
321	3967	8354
322	3980	8342
323	3992	8329
324	4003	8315
325	4015	8302
326	4027	8289
327	4039	8276
328	4051	8263
329	4063	8250
330	4075	8237
331	4087	8224
332	4099	8211
333	4111	8198
334	4123	8185
335	4135	8172
336	4147	8159
337	4159	8146
338	4171	8133
339	4184	8121
340	4196	8110
341	4208	8097
342	4220	8084
343	4232	8071
344	4244	8059
345	4257	8047
346	4269	8034
347	4281	8022
348	4294	8010
349	4306	7997
350	4318	7984
351	4330	7972
352	4342	7959
353	4354	7946
354	4366	7933
355	4378	7920
356	4390	7908
357	4403	7896
358	4415	7883
359	4427	7871
360	4439	7858
361	4451	7845
362	4464	7833
363	4476	7820
364	4488	7807
365	4500	7795
366	4511	7782
367	4523	7769
368	4536	7756
369	4548	7744
370	4560	7731
371	4572	7718
372	4583	7705
373	4595	7692
374	4607	7679
375	4619	7667
376	4631	7653
377	4643	7641
378	4655	7627
379	4667	7614
380	4679	7602
381	4691	7590
382	4703	7577
383	4715	7564
384	4728	7552
385	4740	7539
386	4751	7526
387	4763	7514
388	4776	7501
389	4787	7488
390	4800	7476
391	4812	7463
392	4824	7451
393	4836	7438
394	4848	7426
395	4860	7413
396	4872	7400
397	4884	7388
398	4896	7375
399	4908	7363
400	4921	7351
401	4933	7338
402	4945	7326
403	4957	7312
404	4969	7300
405	4981	7287
406	4993	7275
407	5005	7263
